map_layout_code,max_cars,max_bikes,count_cars,throughput
1,9,0,317,35.22222222
1,11,0,351,31.90909091
1,11,0,324,29.45454545
1,11,0,333,30.27272727
1,11,0,329,29.90909091
1,13,0,360,27.69230769
1,11,0,320,29.09090909
1,13,0,336,25.84615385
1,11,0,332,30.18181818
1,11,0,337,30.63636364
1,13,0,356,27.38461538
1,13,0,326,25.07692308
1,13,0,329,25.30769231
1,13,0,354,27.23076923
1,13,0,306,23.53846154
1,13,0,317,24.38461538
1,1,3,86,86
1,1,3,81,81
1,1,3,84,84
1,1,3,86,86
1,1,3,83,83
1,1,3,91,91
1,1,3,82,82
1,1,3,75,75
1,3,3,205,68.33333333
1,3,3,210,70
1,3,3,205,68.33333333
1,3,3,209,69.66666667
1,3,3,215,71.66666667
1,3,3,212,70.66666667
1,3,3,211,70.33333333
1,3,3,213,71
1,5,3,255,51
1,5,3,255,51
1,5,3,266,53.2
1,5,3,271,54.2
1,5,3,265,53
1,5,3,263,52.6
1,5,3,248,49.6
1,5,3,271,54.2
1,7,3,265,37.85714286
1,7,3,282,40.28571429
1,7,3,279,39.85714286
1,7,3,263,37.57142857
1,7,3,261,37.28571429
1,7,3,257,36.71428571
1,7,3,287,41
1,7,3,276,39.42857143
1,9,3,265,29.44444444
1,9,3,277,30.77777778
1,9,3,273,30.33333333
1,9,3,263,29.22222222
1,9,3,287,31.88888889
1,9,3,277,30.77777778
1,9,3,298,33.11111111
1,9,3,283,31.44444444
1,11,3,284,25.81818182
1,11,3,268,24.36363636
1,11,3,291,26.45454545
1,11,3,289,26.27272727
1,11,3,302,27.45454545
1,11,3,267,24.27272727
1,11,3,286,26
1,11,3,281,25.54545455
1,13,3,264,20.30769231
1,13,3,283,21.76923077
1,13,3,292,22.46153846
1,13,3,253,19.46153846
1,13,3,285,21.92307692
1,13,3,264,20.30769231
1,13,3,289,22.23076923
1,13,3,281,21.61538462
1,1,6,68,68
1,1,6,67,67
1,1,6,69,69
1,1,6,73,73
1,1,6,63,63
1,1,6,68,68
1,1,6,67,67
1,1,6,72,72
1,3,6,175,58.33333333
1,3,6,167,55.66666667
1,3,6,174,58
1,3,6,157,52.33333333
1,3,6,167,55.66666667
1,3,6,163,54.33333333
1,3,6,155,51.66666667
1,3,6,168,56
1,5,6,208,41.6
1,5,6,211,42.2
1,5,6,204,40.8
1,5,6,218,43.6
1,5,6,209,41.8
1,5,6,210,42
1,5,6,212,42.4
1,5,6,193,38.6
1,7,6,225,32.14285714
1,7,6,237,33.85714286
1,7,6,222,31.71428571
1,7,6,238,34
1,7,6,223,31.85714286
1,7,6,214,30.57142857
1,7,6,233,33.28571429
1,7,6,241,34.42857143
1,9,6,231,25.66666667
1,9,6,224,24.88888889
1,9,6,219,24.33333333
1,9,6,229,25.44444444
1,9,6,237,26.33333333
1,9,6,233,25.88888889
1,9,6,234,26
1,9,6,233,25.88888889
1,11,6,229,20.81818182
1,11,6,249,22.63636364
1,11,6,237,21.54545455
1,11,6,241,21.90909091
1,11,6,230,20.90909091
1,11,6,230,20.90909091
1,11,6,214,19.45454545
1,11,6,241,21.90909091
1,13,6,230,17.69230769
1,13,6,228,17.53846154
1,13,6,221,17
1,13,6,230,17.69230769
1,13,6,236,18.15384615
1,13,6,240,18.46153846
1,13,6,233,17.92307692
1,13,6,222,17.07692308
1,1,9,58,58
1,1,9,52,52
1,1,9,62,62
1,1,9,51,51
1,1,9,54,54
1,1,9,61,61
1,1,9,57,57
1,1,9,52,52
1,3,9,134,44.66666667
1,3,9,132,44
1,3,9,121,40.33333333
1,3,9,136,45.33333333
1,3,9,136,45.33333333
1,3,9,134,44.66666667
1,3,9,122,40.66666667
1,3,9,131,43.66666667
1,5,9,151,30.2
1,5,9,176,35.2
1,5,9,171,34.2
1,5,9,178,35.6
1,5,9,163,32.6
1,5,9,175,35
1,5,9,167,33.4
1,5,9,168,33.6
1,7,9,182,26
1,7,9,188,26.85714286
1,7,9,183,26.14285714
1,7,9,193,27.57142857
1,7,9,197,28.14285714
1,7,9,177,25.28571429
1,7,9,182,26
1,7,9,178,25.42857143
1,9,9,184,20.44444444
1,9,9,189,21
1,9,9,200,22.22222222
1,9,9,179,19.88888889
1,9,9,201,22.33333333
1,9,9,199,22.11111111
1,9,9,211,23.44444444
1,9,9,196,21.77777778
1,11,9,191,17.36363636
1,11,9,202,18.36363636
1,11,9,203,18.45454545
1,11,9,194,17.63636364
1,11,9,184,16.72727273
1,11,9,198,18
1,11,9,188,17.09090909
1,11,9,188,17.09090909
1,13,9,190,14.61538462
1,13,9,187,14.38461538
1,13,9,198,15.23076923
1,13,9,204,15.69230769
1,13,9,198,15.23076923
1,13,9,199,15.30769231
1,13,9,200,15.38461538
1,13,9,208,16
1,1,12,41,41
1,1,12,41,41
1,1,12,42,42
1,1,12,48,48
1,1,12,43,43
1,1,12,42,42
1,1,12,43,43
1,1,12,41,41
1,3,12,111,37
1,3,12,100,33.33333333
1,3,12,98,32.66666667
1,3,12,118,39.33333333
1,3,12,106,35.33333333
1,3,12,111,37
1,3,12,106,35.33333333
1,3,12,98,32.66666667
1,5,12,134,26.8
1,5,12,142,28.4
1,5,12,130,26
1,5,12,147,29.4
1,5,12,136,27.2
1,5,12,142,28.4
1,5,12,142,28.4
1,5,12,125,25
1,7,12,156,22.28571429
1,7,12,153,21.85714286
1,7,12,153,21.85714286
1,7,12,161,23
1,7,12,153,21.85714286
1,7,12,154,22
1,7,12,155,22.14285714
1,7,12,151,21.57142857
1,9,12,166,18.44444444
1,9,12,172,19.11111111
1,9,12,169,18.77777778
1,9,12,167,18.55555556
1,9,12,174,19.33333333
1,9,12,163,18.11111111
1,9,12,163,18.11111111
1,9,12,173,19.22222222
1,11,12,160,14.54545455
1,11,12,169,15.36363636
1,11,12,151,13.72727273
1,11,12,164,14.90909091
1,11,12,151,13.72727273
1,11,12,154,14
1,11,12,176,16
1,11,12,169,15.36363636
1,13,12,170,13.07692308
1,13,12,159,12.23076923
1,13,12,155,11.92307692
1,13,12,164,12.61538462
1,13,12,150,11.53846154
1,13,12,160,12.30769231
1,13,12,160,12.30769231
1,13,12,158,12.15384615
1,1,15,38,38
1,1,15,33,33
1,1,15,36,36
1,1,15,32,32
1,1,15,32,32
1,1,15,31,31
1,1,15,36,36
1,1,15,39,39
1,3,15,88,29.33333333
1,3,15,82,27.33333333
1,3,15,86,28.66666667
1,3,15,78,26
1,3,15,81,27
1,3,15,86,28.66666667
1,3,15,84,28
1,3,15,86,28.66666667
1,5,15,124,24.8
1,5,15,122,24.4
1,5,15,108,21.6
1,5,15,117,23.4
1,5,15,109,21.8
1,5,15,108,21.6
1,5,15,106,21.2
1,5,15,93,18.6
1,7,15,116,16.57142857
1,7,15,109,15.57142857
1,7,15,125,17.85714286
1,7,15,118,16.85714286
1,7,15,131,18.71428571
1,7,15,127,18.14285714
1,7,15,110,15.71428571
1,7,15,128,18.28571429
1,9,15,121,13.44444444
1,9,15,128,14.22222222
1,9,15,121,13.44444444
1,9,15,102,11.33333333
1,9,15,140,15.55555556
1,9,15,131,14.55555556
1,9,15,140,15.55555556
1,9,15,110,12.22222222
1,11,15,120,10.90909091
1,11,15,139,12.63636364
1,11,15,133,12.09090909
1,11,15,137,12.45454545
1,11,15,124,11.27272727
1,11,15,121,11
1,11,15,134,12.18181818
1,11,15,123,11.18181818
1,13,15,142,10.92307692
